OID_,ID,Elevation_m_min,Elevation_m_max,Elevation_m_mean,Slope_deg_min,Slope_deg_max,Slope_deg_mean,Aspect_deg_median,Area_m2
131,363,275,410,331.909090909090935,11.666091918945312,51.909488677978516,36.053241851113050,316.212799072265625,41590.0086721
132,365,518,519,518.500000000000000,19.755485534667969,23.723867416381836,21.739676475524902,190.642349243164062,1321.6096616
133,366,426,426,426.000000000000000,34.228038787841797,34.228038787841797,34.228038787841797,20.700214385986328,1111.48846531
134,367,369,397,382.875000000000000,20.214252471923828,29.023426055908203,25.404934883117676,337.951324462890625,4968.88057386
135,368,433,433,433.000000000000000,21.862024307250977,21.862024307250977,21.862024307250977,342.908020019531250,765.66384054
136,370,438,457,450.333333333333314,30.487344741821289,31.467151641845703,31.088804244995117,7.380308151245117,1574.14493389
137,374,295,303,298.250000000000000,7.129218101501465,13.681209564208984,9.521416187286377,330.957977294921875,5333.172983
138,375,541,541,541.000000000000000,30.749082565307617,30.749082565307617,30.749082565307617,308.629669189453125,1505.46968529
139,376,449,484,469.250000000000000,5.500043392181396,28.270183563232422,19.466077685356140,4.754020214080811,3775.15705311
140,377,508,508,508.000000000000000,17.187538146972656,17.187538146972656,17.187538146972656,300.721130371093750,1173.2072878
141,378,528,528,528.000000000000000,24.173448562622070,24.173448562622070,24.173448562622070,267.930053710937500,1360.06715063
142,381,549,549,549.000000000000000,25.250179290771484,25.250179290771484,25.250179290771484,294.910614013671875,1032.58962486
143,384,547,550,548.500000000000000,12.828098297119141,15.326084136962891,14.077091217041016,149.735847473144531,720.642662075
144,385,342,488,423.368421052631504,23.017555236816406,39.660854339599609,31.455419590598673,330.181838989257812,25144.3606489
145,387,525,525,525.000000000000000,22.230613708496094,22.230613708496094,22.230613708496094,149.769088745117188,554.712486224
146,389,412,412,412.000000000000000,11.437329292297363,11.437329292297363,11.437329292297363,195.922348022460938,435.63962431
147,391,378,562,465.500000000000000,13.044970512390137,43.204093933105469,34.950430202484135,344.685684204101562,37061.3276951
148,392,340,459,405.772727272727252,20.809875488281250,38.294799804687500,31.008726119995114,307.790649414062500,15957.7296354
149,393,342,385,359.000000000000000,28.477272033691406,37.528949737548828,33.764680317470003,348.012695312500000,4572.50551066
150,396,710,710,710.000000000000000,10.135033607482910,10.135033607482910,10.135033607482910,95.203498840332031,126.86632343
151,403,324,439,368.321428571428498,20.116157531738281,60.794532775878906,44.101751123155857,324.252487182617188,21464.4350809
152,404,339,339,339.000000000000000,44.124076843261719,44.124076843261719,44.124076843261719,272.840698242187500,735.161299528
153,406,424,424,424.000000000000000,54.168167114257812,54.168167114257812,54.168167114257812,304.274078369140625,1136.08129491
154,407,309,349,317.888888888888914,1.785164356231689,51.320262908935547,24.743925200568306,265.548126220703125,5497.99376837
155,408,309,364,336.500000000000000,50.674617767333984,59.989578247070312,55.332098007202148,245.675376892089844,765.080680422
156,409,465,465,465.000000000000000,4.513058662414551,4.640224933624268,4.576641798019409,151.012435913085938,1611.76522514
157,413,432,433,432.666666666666686,15.094827651977539,16.378982543945312,15.944948196411133,180.902145385742188,466.750344754
158,415,386,386,386.000000000000000,8.940198898315430,8.940198898315430,8.940198898315430,208.050506591796875,1117.59191039
