OID,area_m2,length_m,width_m,name
36857,17557.07227,358,93,Roback2017_Gorkha
36858,5349.458477,256,37,Roback2017_Gorkha
36859,4881.931489,369,59,Roback2017_Gorkha
36860,90.53163481,19,7,Roback2017_Gorkha
36861,2669.853692,156,29,Roback2017_Gorkha
36862,1002.475704,93,18,Roback2017_Gorkha
36863,1265.85367,83,24,Roback2017_Gorkha
36864,1879.248333,126,47,Roback2017_Gorkha
36865,960.3178079,75,21,Roback2017_Gorkha
36866,6338.595713,224,100,Roback2017_Gorkha
36867,957.1332677,79,21,Roback2017_Gorkha
36868,1125.381979,78,22,Roback2017_Gorkha
36869,602.4252576,51,15,Roback2017_Gorkha
36870,4039.27864,294,42,Roback2017_Gorkha
36871,1831.609612,220,22,Roback2017_Gorkha
36872,926.0884668,79,23,Roback2017_Gorkha
36873,2696.939684,88,43,Roback2017_Gorkha
36874,1693.566203,106,28,Roback2017_Gorkha
36875,4692.925444,309,72,Roback2017_Gorkha
36876,1632.463227,231,46,Roback2017_Gorkha
36877,144.3635884,28,6,Roback2017_Gorkha
36878,4132.399751,276,45,Roback2017_Gorkha
36879,13655.2061,303,85,Roback2017_Gorkha
36880,924.4509587,74,18,Roback2017_Gorkha
36881,3822.761084,148,48,Roback2017_Gorkha
36882,20454.14305,574,90,Roback2017_Gorkha
36883,546.1380942,70,11,Roback2017_Gorkha
36884,9210.812987,773,93,Roback2017_Gorkha
36885,2154.758561,158,30,Roback2017_Gorkha
36886,4166.358178,357,29,Roback2017_Gorkha
36887,1924.979561,115,30,Roback2017_Gorkha
36888,5269.084736,352,50,Roback2017_Gorkha
36889,15292.70654,329,87,Roback2017_Gorkha
36890,6026.511561,267,46,Roback2017_Gorkha
36891,26702.08582,379,114,Roback2017_Gorkha
36892,2835.623775,110,35,Roback2017_Gorkha
36893,18558.81713,446,127,Roback2017_Gorkha
36894,3944.130098,321,58,Roback2017_Gorkha
36895,3142.236969,313,55,Roback2017_Gorkha
36896,5565.842892,393,53,Roback2017_Gorkha
36897,6931.01065,252,50,Roback2017_Gorkha
36898,2048.763299,174,22,Roback2017_Gorkha
36899,8421.739471,464,43,Roback2017_Gorkha
36900,2640.148603,98,45,Roback2017_Gorkha
36901,1979.913792,194,29,Roback2017_Gorkha
36902,5993.187426,324,48,Roback2017_Gorkha
36903,10466.97988,288,108,Roback2017_Gorkha
36904,1997.804517,189,28,Roback2017_Gorkha
36905,2993.227855,122,38,Roback2017_Gorkha
36906,8270.104397,351,78,Roback2017_Gorkha
36907,4347.508476,194,56,Roback2017_Gorkha
36908,1605.961222,80,28,Roback2017_Gorkha
36909,16772.04172,344,136,Roback2017_Gorkha
36910,51800.8784,701,398,Roback2017_Gorkha
36911,630.1850998,41,22,Roback2017_Gorkha
36912,1060.534321,72,21,Roback2017_Gorkha
36913,3728.011171,68,67,Roback2017_Gorkha
36914,697.0540243,93,15,Roback2017_Gorkha
36915,1024.509027,74,26,Roback2017_Gorkha
36916,3912.298017,151,61,Roback2017_Gorkha
36917,1782.499037,112,28,Roback2017_Gorkha
36918,2021.77345,121,23,Roback2017_Gorkha
36919,5613.369177,186,52,Roback2017_Gorkha
36920,3415.501109,280,47,Roback2017_Gorkha
36921,2628.846172,247,29,Roback2017_Gorkha
36922,5909.551911,181,48,Roback2017_Gorkha
36923,9315.142221,251,51,Roback2017_Gorkha
36924,15044.01022,541,71,Roback2017_Gorkha
36925,4756.702758,241,82,Roback2017_Gorkha
36926,9990.587509,276,74,Roback2017_Gorkha
36927,7854.900414,306,114,Roback2017_Gorkha
36928,2659.872964,169,67,Roback2017_Gorkha
36929,909.307243,103,13,Roback2017_Gorkha
36930,599.1125338,72,21,Roback2017_Gorkha
36931,356.4025908,54,8,Roback2017_Gorkha
36932,1474.703318,176,49,Roback2017_Gorkha
36933,1007.373578,71,21,Roback2017_Gorkha
36934,6142.461782,367,136,Roback2017_Gorkha
36935,4689.250436,243,36,Roback2017_Gorkha
36936,2654.019009,270,41,Roback2017_Gorkha
36937,5821.335476,152,59,Roback2017_Gorkha
36938,2996.533748,167,30,Roback2017_Gorkha
36939,1882.032695,140,25,Roback2017_Gorkha
36940,4822.500903,361,51,Roback2017_Gorkha
36941,727.1502992,58,18,Roback2017_Gorkha
36942,3015.551515,202,22,Roback2017_Gorkha
36943,6522.749206,148,58,Roback2017_Gorkha
36944,2053.991031,193,33,Roback2017_Gorkha
36945,6289.582403,283,50,Roback2017_Gorkha
36946,1336.428374,95,23,Roback2017_Gorkha
36947,1122.861349,94,15,Roback2017_Gorkha
36948,5356.71764,434,83,Roback2017_Gorkha
